Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;01 Andalucía;General;Índice;2015T2;100,600
Nacional;01 Andalucía;General;Índice;2015T1;96,637
Nacional;01 Andalucía;General;Índice;2014T4;98,094
Nacional;01 Andalucía;General;Índice;2014T3;97,478
Nacional;01 Andalucía;General;Índice;2014T2;97,214
Nacional;01 Andalucía;General;Índice;2014T1;95,522
Nacional;01 Andalucía;General;Índice;2013T4;96,389
Nacional;01 Andalucía;General;Índice;2013T3;97,433
Nacional;01 Andalucía;General;Índice;2013T2;96,563
Nacional;01 Andalucía;General;Índice;2013T1;97,307
Nacional;01 Andalucía;General;Índice;2012T4;102,861
Nacional;01 Andalucía;General;Índice;2012T3;104,624
Nacional;01 Andalucía;General;Índice;2012T2;106,719
Nacional;01 Andalucía;General;Índice;2012T1;110,865
Nacional;01 Andalucía;General;Índice;2011T4;116,257
Nacional;01 Andalucía;General;Índice;2011T3;119,932
Nacional;01 Andalucía;General;Índice;2011T2;122,836
Nacional;01 Andalucía;General;Índice;2011T1;122,879
Nacional;01 Andalucía;General;Índice;2010T4;126,862
Nacional;01 Andalucía;General;Índice;2010T3;127,118
Nacional;01 Andalucía;General;Índice;2010T2;130,094
Nacional;01 Andalucía;General;Índice;2010T1;128,360
Nacional;01 Andalucía;General;Índice;2009T4;129,541
Nacional;01 Andalucía;General;Índice;2009T3;129,930
Nacional;01 Andalucía;General;Índice;2009T2;130,679
Nacional;01 Andalucía;General;Índice;2009T1;130,500
Nacional;01 Andalucía;General;Índice;2008T4;131,847
Nacional;01 Andalucía;General;Índice;2008T3;135,361
Nacional;01 Andalucía;General;Índice;2008T2;135,178
Nacional;01 Andalucía;General;Índice;2008T1;135,751
Nacional;01 Andalucía;General;Índice;2007T4;135,785
Nacional;01 Andalucía;General;Índice;2007T3;133,943
Nacional;01 Andalucía;General;Índice;2007T2;130,901
Nacional;01 Andalucía;General;Índice;2007T1;127,081
Nacional;02 Aragón;General;Índice;2025T3;176,563
Nacional;02 Aragón;General;Índice;2025T2;170,432
Nacional;02 Aragón;General;Índice;2025T1;162,696
Nacional;02 Aragón;General;Índice;2024T4;156,497
Nacional;02 Aragón;General;Índice;2024T3;154,092
Nacional;02 Aragón;General;Índice;2024T2;149,893
Nacional;02 Aragón;General;Índice;2024T1;143,668
Nacional;02 Aragón;General;Índice;2023T4;138,068
Nacional;02 Aragón;General;Índice;2023T3;139,690
Nacional;02 Aragón;General;Índice;2023T2;136,449
Nacional;02 Aragón;General;Índice;2023T1;134,247
Nacional;02 Aragón;General;Índice;2022T4;132,396
Nacional;02 Aragón;General;Índice;2022T3;133,388
Nacional;02 Aragón;General;Índice;2022T2;131,950
Nacional;02 Aragón;General;Índice;2022T1;130,106
Nacional;02 Aragón;General;Índice;2021T4;126,951
Nacional;02 Aragón;General;Índice;2021T3;125,622
Nacional;02 Aragón;General;Índice;2021T2;122,696
Nacional;02 Aragón;General;Índice;2021T1;120,807
Nacional;02 Aragón;General;Índice;2020T4;119,395
Nacional;02 Aragón;General;Índice;2020T3;120,261
Nacional;02 Aragón;General;Índice;2020T2;119,737
Nacional;02 Aragón;General;Índice;2020T1;118,557
Nacional;02 Aragón;General;Índice;2019T4;118,107
Nacional;02 Aragón;General;Índice;2019T3;117,328
Nacional;02 Aragón;General;Índice;2019T2;116,219
Nacional;02 Aragón;General;Índice;2019T1;114,400
Nacional;02 Aragón;General;Índice;2018T4;111,958
Nacional;02 Aragón;General;Índice;2018T3;110,941
Nacional;02 Aragón;General;Índice;2018T2;108,946
Nacional;02 Aragón;General;Índice;2018T1;107,505
Nacional;02 Aragón;General;Índice;2017T4;105,419
Nacional;02 Aragón;General;Índice;2017T3;105,181
Nacional;02 Aragón;General;Índice;2017T2;104,254
Nacional;02 Aragón;General;Índice;2017T1;104,298
Nacional;02 Aragón;General;Índice;2016T4;102,218
Nacional;02 Aragón;General;Índice;2016T3;102,258
Nacional;02 Aragón;General;Índice;2016T2;102,571
Nacional;02 Aragón;General;Índice;2016T1;100,535
Nacional;02 Aragón;General;Índice;2015T4;99,886
Nacional;02 Aragón;General;Índice;2015T3;100,255
Nacional;02 Aragón;General;Índice;2015T2;101,227
Nacional;02 Aragón;General;Índice;2015T1;98,632
Nacional;02 Aragón;General;Índice;2014T4;99,233
Nacional;02 Aragón;General;Índice;2014T3;99,341
Nacional;02 Aragón;General;Índice;2014T2;99,906
Nacional;02 Aragón;General;Índice;2014T1;98,148
Nacional;02 Aragón;General;Índice;2013T4;99,170
Nacional;02 Aragón;General;Índice;2013T3;101,370
Nacional;02 Aragón;General;Índice;2013T2;102,236
Nacional;02 Aragón;General;Índice;2013T1;103,193
Nacional;02 Aragón;General;Índice;2012T4;113,285
Nacional;02 Aragón;General;Índice;2012T3;114,084
Nacional;02 Aragón;General;Índice;2012T2;118,843
Nacional;02 Aragón;General;Índice;2012T1;118,835
Nacional;02 Aragón;General;Índice;2011T4;128,457
Nacional;02 Aragón;General;Índice;2011T3;136,197
Nacional;02 Aragón;General;Índice;2011T2;139,049
Nacional;02 Aragón;General;Índice;2011T1;139,600
Nacional;02 Aragón;General;Índice;2010T4;146,806
Nacional;02 Aragón;General;Índice;2010T3;145,905
Nacional;02 Aragón;General;Índice;2010T2;150,299
Nacional;02 Aragón;General;Índice;2010T1;148,846
Nacional;02 Aragón;General;Índice;2009T4;153,443
Nacional;02 Aragón;General;Índice;2009T3;155,071
Nacional;02 Aragón;General;Índice;2009T2;158,625
Nacional;02 Aragón;General;Índice;2009T1;158,726
Nacional;02 Aragón;General;Índice;2008T4;164,638
Nacional;02 Aragón;General;Índice;2008T3;169,486
Nacional;02 Aragón;General;Índice;2008T2;176,271
Nacional;02 Aragón;General;Índice;2008T1;175,804
Nacional;02 Aragón;General;Índice;2007T4;176,458
Nacional;02 Aragón;General;Índice;2007T3;178,362
Nacional;02 Aragón;General;Índice;2007T2;176,576
Nacional;02 Aragón;General;Índice;2007T1;175,582
Nacional;03 Asturias, Principado de;General;Índice;2025T3;162,381
Nacional;03 Asturias, Principado de;General;Índice;2025T2;158,852
Nacional;03 Asturias, Principado de;General;Índice;2025T1;152,219
Nacional;03 Asturias, Principado de;General;Índice;2024T4;146,765
Nacional;03 Asturias, Principado de;General;Índice;2024T3;143,078
Nacional;03 Asturias, Principado de;General;Índice;2024T2;139,913
Nacional;03 Asturias, Principado de;General;Índice;2024T1;134,630
Nacional;03 Asturias, Principado de;General;Índice;2023T4;131,352
Nacional;03 Asturias, Principado de;General;Índice;2023T3;133,866
Nacional;03 Asturias, Principado de;General;Índice;2023T2;130,306
Nacional;03 Asturias, Principado de;General;Índice;2023T1;128,079
Nacional;03 Asturias, Principado de;General;Índice;2022T4;126,946
Nacional;03 Asturias, Principado de;General;Índice;2022T3;127,452
Nacional;03 Asturias, Principado de;General;Índice;2022T2;126,693
Nacional;03 Asturias, Principado de;General;Índice;2022T1;123,636
Nacional;03 Asturias, Principado de;General;Índice;2021T4;121,340
Nacional;03 Asturias, Principado de;General;Índice;2021T3;119,777
Nacional;03 Asturias, Principado de;General;Índice;2021T2;118,855
Nacional;03 Asturias, Principado de;General;Índice;2021T1;115,257
Nacional;03 Asturias, Principado de;General;Índice;2020T4;114,305
Nacional;03 Asturias, Principado de;General;Índice;2020T3;114,498
Nacional;03 Asturias, Principado de;General;Índice;2020T2;114,686
Nacional;03 Asturias, Principado de;General;Índice;2020T1;112,800
Nacional;03 Asturias, Principado de;General;Índice;2019T4;112,223
Nacional;03 Asturias, Principado de;General;Índice;2019T3;111,463
Nacional;03 Asturias, Principado de;General;Índice;2019T2;110,472
Nacional;03 Asturias, Principado de;General;Índice;2019T1;108,084
Nacional;03 Asturias, Principado de;General;Índice;2018T4;107,600
Nacional;03 Asturias, Principado de;General;Índice;2018T3;107,658
Nacional;03 Asturias, Principado de;General;Índice;2018T2;105,095
Nacional;03 Asturias, Principado de;General;Índice;2018T1;104,140
Nacional;03 Asturias, Principado de;General;Índice;2017T4;104,111
Nacional;03 Asturias, Principado de;General;Índice;2017T3;103,132
Nacional;03 Asturias, Principado de;General;Índice;2017T2;100,953
Nacional;03 Asturias, Principado de;General;Índice;2017T1;101,946
Nacional;03 Asturias, Principado de;General;Índice;2016T4;101,654
Nacional;03 Asturias, Principado de;General;Índice;2016T3;102,264
Nacional;03 Asturias, Principado de;General;Índice;2016T2;101,217
Nacional;03 Asturias, Principado de;General;Índice;2016T1;100,537
Nacional;03 Asturias, Principado de;General;Índice;2015T4;99,712
Nacional;03 Asturias, Principado de;General;Índice;2015T3;102,276
Nacional;03 Asturias, Principado de;General;Índice;2015T2;100,503
Nacional;03 Asturias, Principado de;General;Índice;2015T1;97,509
Nacional;03 Asturias, Principado de;General;Índice;2014T4;98,431
Nacional;03 Asturias, Principado de;General;Índice;2014T3;98,851
Nacional;03 Asturias, Principado de;General;Índice;2014T2;99,566
Nacional;03 Asturias, Principado de;General;Índice;2014T1;97,194
Nacional;03 Asturias, Principado de;General;Índice;2013T4;98,757
Nacional;03 Asturias, Principado de;General;Índice;2013T3;100,371
Nacional;03 Asturias, Principado de;General;Índice;2013T2;101,586
Nacional;03 Asturias, Principado de;General;Índice;2013T1;102,340
Nacional;03 Asturias, Principado de;General;Índice;2012T4;111,549
Nacional;03 Asturias, Principado de;General;Índice;2012T3;111,115
Nacional;03 Asturias, Principado de;General;Índice;2012T2;116,298
Nacional;03 Asturias, Principado de;General;Índice;2012T1;119,183
