"","","","","","","","Servicio Público de Empleo Estatal",""
"Evolución del paro registrado según sectores. Últimos 10 años.","","","","","","","",""
"","","","","","","","",""
"","","","TOTAL","AGRICULTURA","INDUSTRIA","CONSTRUCCIÓN","SERVICIOS","SIN EMPLEO ANT."
"","","","","","","","",""
"","202104","ABRIL","3,910,628","191,330","308,240","300,536","2,750,039","360,483"
"","202105","MAYO","3,781,250","182,175","298,837","292,387","2,656,712","351,139"
"","202106","JUNIO","3,614,339","184,057","286,139","280,624","2,525,495","338,024"
"","202107","JULIO","3,416,498","175,177","272,981","270,470","2,391,837","306,033"
"","202108","AGOSTO","3,333,915","161,678","271,855","271,609","2,345,613","283,160"
"","202109","SEPTIEMBRE","3,257,802","148,611","265,187","259,300","2,306,301","278,403"
"","202110","OCTUBRE","3,257,068","156,188","264,340","254,777","2,301,618","280,145"
"","202111","NOVIEMBRE","3,182,687","150,116","256,651","250,441","2,253,090","272,389"
"","202112","DICIEMBRE","3,105,905","145,586","258,405","257,946","2,188,281","255,687"
"","","","","","","","",""
"2022","202201","ENERO","3,123,078","148,243","255,984","250,642","2,221,908","246,301"
"","202202","FEBRERO","3,111,684","154,786","253,359","243,443","2,210,670","249,426"
"","202203","MARZO","3,108,763","156,354","254,532","249,107","2,192,580","256,190"
"","202204","ABRIL","3,022,503","146,810","250,192","242,135","2,127,158","256,208"
"","202205","MAYO","2,922,991","138,117","242,224","232,127","2,062,928","247,595"
"","202206","JUNIO","2,880,582","146,980","235,076","227,146","2,021,911","249,469"
"","202207","JULIO","2,883,812","147,805","233,167","228,122","2,033,148","241,570"
"","202208","AGOSTO","2,924,240","141,112","238,141","233,217","2,070,694","241,076"
"","202209","SEPTIEMBRE","2,941,919","134,088","237,902","228,452","2,095,385","246,092"
"","202210","OCTUBRE","2,914,892","122,737","237,351","223,886","2,079,232","251,686"
"","202211","NOVIEMBRE","2,881,380","118,230","233,568","221,962","2,054,149","253,471"
"","202212","DICIEMBRE","2,837,653","113,308","233,843","227,117","2,017,069","246,316"
"","","","","","","","",""
"2023","202301","ENERO","2,908,397","114,765","234,251","224,006","2,087,828","247,547"
"","202302","FEBRERO","2,911,015","115,903","231,852","221,614","2,083,960","257,686"
"","202303","MARZO","2,862,260","113,255","228,433","217,716","2,041,171","261,685"
"","202304","ABRIL","2,788,370","108,959","223,042","213,702","1,988,955","253,712"
"","202305","MAYO","2,739,110","106,458","218,420","209,806","1,954,290","250,136"
"","202306","JUNIO","2,688,842","106,678","213,532","208,118","1,912,157","248,357"
