País de nacimiento;Grupo quinquenal de edad;Sexo;Periodo;Total
España;Todas las edades;Total;1 de abril de 2023;39.837.149
España;Todas las edades;Total;1 de enero de 2023;39.881.155
España;Todas las edades;Total;1 de octubre de 2022;39.918.394
España;Todas las edades;Total;1 de julio de 2022;39.942.243
España;Todas las edades;Total;1 de abril de 2022;39.970.395
España;Todas las edades;Total;1 de enero de 2022;40.018.611
España;Todas las edades;Total;1 de octubre de 2021;40.059.610
España;Todas las edades;Total;1 de julio de 2021;40.072.031
España;Todas las edades;Total;1 de abril de 2021;40.091.962
España;Todas las edades;Total;1 de enero de 2021;40.146.001
España;Todas las edades;Total;1 de octubre de 2020;""
España;Todas las edades;Total;1 de julio de 2020;40.200.819
España;Todas las edades;Total;1 de abril de 2020;""
España;Todas las edades;Total;1 de enero de 2020;40.303.297
España;Todas las edades;Total;1 de octubre de 2019;""
España;Todas las edades;Total;1 de julio de 2019;40.323.934
España;Todas las edades;Total;1 de abril de 2019;""
España;Todas las edades;Total;1 de enero de 2019;40.369.642
España;Todas las edades;Total;1 de octubre de 2018;""
España;Todas las edades;Total;1 de julio de 2018;40.382.905
España;Todas las edades;Total;1 de abril de 2018;""
España;Todas las edades;Total;1 de enero de 2018;40.437.561
España;Todas las edades;Total;1 de octubre de 2017;""
España;Todas las edades;Total;1 de julio de 2017;40.442.504
España;Todas las edades;Total;1 de abril de 2017;""
España;Todas las edades;Total;1 de enero de 2017;40.482.685
España;Todas las edades;Total;1 de octubre de 2016;""
España;Todas las edades;Total;1 de julio de 2016;40.481.969
España;Todas las edades;Total;1 de abril de 2016;""
España;Todas las edades;Total;1 de enero de 2016;40.505.719
España;Todas las edades;Total;1 de octubre de 2015;""
España;Todas las edades;Total;1 de julio de 2015;40.502.460
España;Todas las edades;Total;1 de abril de 2015;""
España;Todas las edades;Total;1 de enero de 2015;40.541.831
España;Todas las edades;Total;1 de octubre de 2014;""
España;Todas las edades;Total;1 de julio de 2014;40.530.424
España;Todas las edades;Total;1 de abril de 2014;""
España;Todas las edades;Total;1 de enero de 2014;40.542.974
España;Todas las edades;Total;1 de octubre de 2013;""
España;Todas las edades;Total;1 de julio de 2013;40.534.785
España;Todas las edades;Total;1 de abril de 2013;""
España;Todas las edades;Total;1 de enero de 2013;40.547.015
España;Todas las edades;Total;1 de octubre de 2012;""
España;Todas las edades;Total;1 de julio de 2012;40.518.675
España;Todas las edades;Total;1 de abril de 2012;""
España;Todas las edades;Total;1 de enero de 2012;40.523.263
España;Todas las edades;Total;1 de octubre de 2011;""
España;Todas las edades;Total;1 de julio de 2011;40.451.719
España;Todas las edades;Total;1 de abril de 2011;""
España;Todas las edades;Total;1 de enero de 2011;40.384.966
España;Todas las edades;Total;1 de octubre de 2010;""
España;Todas las edades;Total;1 de julio de 2010;40.282.782
España;Todas las edades;Total;1 de abril de 2010;""
España;Todas las edades;Total;1 de enero de 2010;40.206.557
España;Todas las edades;Total;1 de octubre de 2009;""
España;Todas las edades;Total;1 de julio de 2009;40.099.015
España;Todas las edades;Total;1 de abril de 2009;""
España;Todas las edades;Total;1 de enero de 2009;40.013.758
España;Todas las edades;Total;1 de octubre de 2008;""
España;Todas las edades;Total;1 de julio de 2008;39.890.701
España;Todas las edades;Total;1 de abril de 2008;""
España;Todas las edades;Total;1 de enero de 2008;39.790.019
España;Todas las edades;Total;1 de octubre de 2007;""
España;Todas las edades;Total;1 de julio de 2007;39.675.007
España;Todas las edades;Total;1 de abril de 2007;""
España;Todas las edades;Total;1 de enero de 2007;39.584.597
España;Todas las edades;Total;1 de octubre de 2006;""
España;Todas las edades;Total;1 de julio de 2006;39.470.593
España;Todas las edades;Total;1 de abril de 2006;""
España;Todas las edades;Total;1 de enero de 2006;39.371.997
España;Todas las edades;Total;1 de octubre de 2005;""
España;Todas las edades;Total;1 de julio de 2005;39.257.142
España;Todas las edades;Total;1 de abril de 2005;""
España;Todas las edades;Total;1 de enero de 2005;39.189.109
España;Todas las edades;Total;1 de octubre de 2004;""
España;Todas las edades;Total;1 de julio de 2004;39.084.542
España;Todas las edades;Total;1 de abril de 2004;""
España;Todas las edades;Total;1 de enero de 2004;38.999.785
España;Todas las edades;Total;1 de octubre de 2003;""
España;Todas las edades;Total;1 de julio de 2003;38.913.878
España;Todas las edades;Total;1 de abril de 2003;""
España;Todas las edades;Total;1 de enero de 2003;38.843.742
España;Todas las edades;Total;1 de octubre de 2002;""
España;Todas las edades;Total;1 de julio de 2002;38.755.143
España;Todas las edades;Total;1 de abril de 2002;""
España;Todas las edades;Total;1 de enero de 2002;38.701.173
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2025;1.601.863
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2024;1.604.146
